Non-sports spread census  2026-08-16T00:06:41.541000+00:00
==============================================================================
events: 281 sports, 9888 non-sports
CONTROL median half-spread (sports, median of per-series medians): 10.0 tenths
  from 19 sports series with >= 5 readable markets

series                          n    half   ratio  verdict
KXUFCFIGHT                     14     5.0    0.50  WORTH A FAIR VALUE
KXWNBAAST                      14   205.0   20.50  DEAD
KXWNBA4QTOTAL                  14    35.0    3.50  DEAD
KXWNBA4QSPREAD                 14   340.0   34.00  DEAD
KXWNBA3QTOTAL                  14    32.5    3.25  DEAD
KXWNBA3QSPREAD                 14   192.5   19.25  DEAD
KXWNBA2QTOTAL                  14    37.5    3.75  DEAD
KXWNBA2QSPREAD                 14   190.0   19.00  DEAD
KXWNBA2HTOTAL                  14    35.0    3.50  DEAD
KXWNBA2HSPREAD                 14   320.0   32.00  DEAD
KXWNBA1HSPREAD                 14    80.0    8.00  DEAD
KXABRAHAMSA                    13    18.0    1.80  UNRESOLVED
KXFRPRESADVANCE                13    30.0    3.00  DEAD
KXLUVA                         13    45.0    4.50  DEAD
KXWAYMO                        13    35.0    3.50  DEAD
KXSENATEDEMLEAD                13    12.0    1.20  WORTH A FAIR VALUE
KXOSCARNOMMAKEUP               13    30.0    3.00  DEAD
KXOSCARNOMBCASTING             13    25.0    2.50  UNRESOLVED
KXOSCARMAH                     13    35.0    3.50  DEAD
KXCABALLOTMEASURES             13    35.0    3.50  DEAD
KXCAVAA                        13    40.0    4.00  DEAD
KXNHLHART                      13    55.0    5.50  DEAD
KXSNOWA                        13    50.0    5.00  DEAD
KXCRWVA                        13    50.0    5.00  DEAD
KXMCDA                         13    45.0    4.50  DEAD
KXNFLDRAFTPICK                 13     5.0    0.50  WORTH A FAIR VALUE
KXNFLDRAFT1ST                  13     5.0    0.50  WORTH A FAIR VALUE
KXFEDCHGCOUNT                  13    14.0    1.40  WORTH A FAIR VALUE
KXLULUA                        13    50.0    5.00  DEAD
KXEARNINGSMENTIONSTZ           13    30.0    3.00  DEAD
KXKLAR                         13    40.0    4.00  DEAD
KXNFLAFCCHAMP                  13     5.0    0.50  WORTH A FAIR VALUE
KXRIVN                         13    40.0    4.00  DEAD
KXF                            13    45.0    4.50  DEAD
KXBANKRUPTCY                   13    40.0    4.00  DEAD
KXRECOGPALESTINE               13    32.5    3.25  DEAD
KXCONGRESSTESTIFY              13    27.5    2.75  UNRESOLVED
KXCLAUDE                       13     5.0    0.50  WORTH A FAIR VALUE
KXAAAGASMAX                    13    15.0    1.50  WORTH A FAIR VALUE
KXGOLDDIRY                     13    35.0    3.50  DEAD
KXEARNINGSMENTIONAS            13    15.0    1.50  WORTH A FAIR VALUE
KXECONSTATCORECPIYOY           13   100.0   10.00  DEAD
KXGOVAK                        13    10.0    1.00  WORTH A FAIR VALUE
KXSAILGPRACE                   13    85.0    8.50  DEAD
KXUSTYLD                       13    45.0    4.50  DEAD
KXMLBTEAMSTAT                  13    55.0    5.50  DEAD
KXTGTFT                        13    50.0    5.00  DEAD
KXSHAKFT                       13    50.0    5.00  DEAD
KXSBUXCC                       13    45.0    4.50  DEAD
KXCCDELINQ                     13    40.0    4.00  DEAD
KXMAMDANIMENTION               13    30.0    3.00  DEAD
KXRANKLISTSONGTOP10            13    20.0    2.00  UNRESOLVED
KXRTX5090MON                   13    15.0    1.50  WORTH A FAIR VALUE
KXUST7AM                       13    95.0    9.50  DEAD
KXUST5AM                       13    95.0    9.50  DEAD
KXMTPMENTION                   13     5.0    0.50  WORTH A FAIR VALUE
KXHOMANMENTION                 13     5.0    0.50  WORTH A FAIR VALUE
KXFNSMENTION                   13     5.0    0.50  WORTH A FAIR VALUE
KXF1TOP5                       13    20.0    2.00  UNRESOLVED
KXLIGAMXBTTS                   13    10.0    1.00  WORTH A FAIR VALUE
KXXRPD                         13    45.0    4.50  DEAD
KXBRENTW                       13     5.0    0.50  WORTH A FAIR VALUE
KXUST5A                        13    90.0    9.00  DEAD
KXOPENINTAI                    13     5.0    0.50  WORTH A FAIR VALUE
KXCOPPAITALIAFTTS              13   450.0   45.00  DEAD
KXUST5AD                       13    10.0    1.00  WORTH A FAIR VALUE
KXUST30AD                      13     5.0    0.50  WORTH A FAIR VALUE
KXWNBA1HTOTAL                  13    90.0    9.00  DEAD
KXPGATOUR                      13     0.5    0.05  WORTH A FAIR VALUE
KXNEXTDNCCHAIR                 12    21.0    2.10  UNRESOLVED
KXAGICO                        12    17.5    1.75  UNRESOLVED
KXEOTRUMPTERM                  12    15.5    1.55  UNRESOLVED
KXUEFAEURO                     12    15.0    1.50  WORTH A FAIR VALUE
KXEBAYA                        12    45.0    4.50  DEAD
KXVENUEPERFORMANCESPHERE       12    35.0    3.50  DEAD
KXNUA                          12    50.0    5.00  DEAD
KXOSCARNOMSCORE                12    27.5    2.75  UNRESOLVED
KXNBADPOY                      12    75.0    7.50  DEAD
KXNBAEAST                      12     5.0    0.50  WORTH A FAIR VALUE
KXSGA                          12    45.0    4.50  DEAD
KXUCL                          12     5.0    0.50  WORTH A FAIR VALUE
KXDENSUPERLIGA                 12    35.0    3.50  DEAD
KXWMARMAD                      12    10.0    1.00  WORTH A FAIR VALUE
KXTOLA                         12    27.5    2.75  UNRESOLVED
KXNFLCPOTY                     12     7.5    0.75  WORTH A FAIR VALUE
KXFUTU                         12    45.0    4.50  DEAD
KXHD                           12    45.0    4.50  DEAD
KXNCAAMBSEC                    12    97.5    9.75  DEAD
KXPBR                          12    45.0    4.50  DEAD
KXSCHW                         12    45.0    4.50  DEAD
KXLEADERNFLINT                 12   182.5   18.25  DEAD
KXKLOBSEAT                     12     7.5    0.75  WORTH A FAIR VALUE
KXDHOUSESEATS                  12     3.5    0.35  WORTH A FAIR VALUE
KXRKLBCOUNT                    12    35.0    3.50  DEAD
KXPDCDARTS                     12    27.5    2.75  UNRESOLVED
KXOILRIGS                      12    40.0    4.00  DEAD
KXTOPAI                        12    25.0    2.50  UNRESOLVED
KXSVOTECLARITY                 12    30.0    3.00  DEAD
KXPOPEVISIT                    12    32.5    3.25  DEAD
KXUSADATACENTERS               12    40.0    4.00  DEAD
KXBALANCESHEET                 12    45.0    4.50  DEAD
KXTOPARTISTRUNNERUPUSA         12     5.0    0.50  WORTH A FAIR VALUE
KXSEXYMAN                      12    12.5    1.25  WORTH A FAIR VALUE
KXEARNINGSMENTIONFUTU          12    42.5    4.25  DEAD
KXBIGBROTHER                   12     5.0    0.50  WORTH A FAIR VALUE
KXMLSEAST                      12    12.5    1.25  WORTH A FAIR VALUE
KXNCAAFB12QUAL                 12    62.5    6.25  DEAD
KXNCAAFB10QUAL                 12    35.0    3.50  DEAD
KXNCAAFACC                     12     5.0    0.50  WORTH A FAIR VALUE
KXNCAAFSEC                     12     5.0    0.50  WORTH A FAIR VALUE
KXNFLNEXTTEAM                  12    42.5    4.25  DEAD
KXAPFDDH                       12    57.5    5.75  DEAD
KXMAPRIMARY                    12    20.0    2.00  UNRESOLVED
KXCHESSOLYMPIAD                12    32.5    3.25  DEAD
KXNFLWEEKCOMPETE               12    10.0    1.00  WORTH A FAIR VALUE
KXBKNUGGETS                    12    20.0    2.00  UNRESOLVED
KXEMPLOYMENTCOMBO              12     5.0    0.50  WORTH A FAIR VALUE
KXZECMAXMON                    12   100.0   10.00  DEAD
KXINDYCARFASTLAP               12    25.0    2.50  UNRESOLVED
KXDIESELD                      12   452.5   45.25  DEAD
KXAPFDDHGAME                   12    25.0    2.50  UNRESOLVED
KXLVAVIRGAME                   12   390.0   39.00  DEAD
KXMYSLGAME                     12   390.0   39.00  DEAD
KXAFLGAME                      12    50.0    5.00  DEAD
KXHYPE                         12   175.0   17.50  DEAD
KXUELBTTS                      12    32.5    3.25  DEAD
KXASEANSPREAD                  12   350.0   35.00  DEAD
KXUCLSPREAD                    12    67.5    6.75  DEAD
KXNPBRFI                       12   337.5   33.75  DEAD
KXEFLCHAMPIONSHIPSPREAD        12    10.0    1.00  WORTH A FAIR VALUE
KXISRPLCUPGAME                 12   220.0   22.00  DEAD
KXUST7AD                       12     5.0    0.50  WORTH A FAIR VALUE
KXLIGAMX1HSPREAD               12    65.0    6.50  DEAD
KXECULPSPREAD                  12    35.0    3.50  DEAD
KXNWSLSPREAD                   12   160.0   16.00  DEAD
KXBOLPDIVGAME                  12    20.0    2.00  UNRESOLVED
KXBRASILEIROC1HTOTAL           12    65.0    6.50  DEAD
KXAPFDDHSPREAD                 12   377.5   37.75  DEAD
KXBRASILEIROC1H                12   245.0   24.50  DEAD
KXCANPLTOTAL                   12    40.0    4.00  DEAD
KXLIGAPORTUGAL1HTOTAL          12    30.0    3.00  DEAD
KXSRBSLSPREAD                  12    67.5    6.75  DEAD
KXSERIECCUPBTTS                12   480.0   48.00  DEAD
KXHNLTOTAL                     12    25.0    2.50  UNRESOLVED
KXSUPERLIGSPREAD               12    35.0    3.50  DEAD
KXLIGAPORTUGAL1H               12    20.0    2.00  UNRESOLVED
KXSVNPLSPREAD                  12    72.5    7.25  DEAD
KXLIGAEXPSPREAD                12   147.5   14.75  DEAD
KXCZEFLTOTAL                   12    25.0    2.50  UNRESOLVED
KXFRASUPERCUPSCORE             12    15.0    1.50  WORTH A FAIR VALUE
KXGER3LSPREAD                  12   192.5   19.25  DEAD
KXISRPLCUPTOTAL                12   107.5   10.75  DEAD
KXUAEPLTOTAL                   12    35.0    3.50  DEAD
KXEREDIVISIE1HTOTAL            12    22.5    2.25  UNRESOLVED
KXSCOCUPGAME                   12     5.0    0.50  WORTH A FAIR VALUE
KXEREDIVISIE1H                 12    20.0    2.00  UNRESOLVED
KXBUNDESLIGA2SPREAD            12    15.0    1.50  WORTH A FAIR VALUE
KXKLEAGUESPREAD                12     7.5    0.75  WORTH A FAIR VALUE
KXJ2LEAGUETOTAL                12    27.5    2.75  UNRESOLVED
KXSVK2LTOTAL                   12   230.0   23.00  DEAD
KXNEXTISRAELPM                 11    10.5    1.05  WORTH A FAIR VALUE
KXNYCMAYORPERSON               11    30.0    3.00  DEAD
KXPRESNOML                     11    16.5    1.65  UNRESOLVED
KXMOA                          11    50.0    5.00  DEAD
KXCCLA                         11    40.0    4.00  DEAD
KXOSCARSUPACTO                 11    15.0    1.50  WORTH A FAIR VALUE
KXOSCARPIC                     11     5.0    0.50  WORTH A FAIR VALUE
KXOSCARACTO                    11     5.0    0.50  WORTH A FAIR VALUE
KXLIMAMAYOR                    11    30.0    3.00  DEAD
KXRONI                         11    25.0    2.50  UNRESOLVED
KXNBAROY                       11    10.0    1.00  WORTH A FAIR VALUE
KXUSGDPSHARE                   11    25.0    2.50  UNRESOLVED
KXDKNGA                        11    45.0    4.50  DEAD
KXNBAEAST1SEED                 11     5.0    0.50  WORTH A FAIR VALUE
KXVZA                          11    50.0    5.00  DEAD
KXNCAAMBBIG12                  11   130.0   13.00  DEAD
KXNCAAMBBIG10                  11   120.0   12.00  DEAD
KXBULL                         11    50.0    5.00  DEAD
KXBTSG                         11     5.0    0.50  WORTH A FAIR VALUE
KXRACE                         11    50.0    5.00  DEAD
KXBROS                         11     5.0    0.50  WORTH A FAIR VALUE
KXFSLR                         11    50.0    5.00  DEAD
KXSNAP                         11    40.0    4.00  DEAD
KXCHICAGOMAYOR                 11    10.0    1.00  WORTH A FAIR VALUE
KXCMG                          11    45.0    4.50  DEAD
KXBA                           11    40.0    4.00  DEAD
KXRHOUSESEATS                  11     5.0    0.50  WORTH A FAIR VALUE
KXAKSALMON                     11    35.0    3.50  DEAD
KXCYCLOCOUNT                   11    40.0    4.00  DEAD
KX10Y2YDATE                    11    80.0    8.00  DEAD
KXCREDITC                      11    45.0    4.50  DEAD
KXMARALAGO                     11    30.0    3.00  DEAD
KXHERMESBIRKIN                 11    95.0    9.50  DEAD
KXCOLLEGEDROP                  11    35.0    3.50  DEAD
KXWTIDIRY                      11    40.0    4.00  DEAD
KXNWSAYLOR                     11   100.0   10.00  DEAD
KXGPT                          11    20.0    2.00  UNRESOLVED
KXMLSWEST                      11    25.0    2.50  UNRESOLVED
KXNCAAFAACQUAL                 11    95.0    9.50  DEAD
KXECONSTATCPIYOY               11    70.0    7.00  DEAD
KXNCAAFSBELT                   11    15.0    1.50  WORTH A FAIR VALUE
KXNCAAFMAC                     11    10.0    1.00  WORTH A FAIR VALUE
KXNCAAFAAC                     11     5.0    0.50  WORTH A FAIR VALUE
KXNCAAFB12                     11     5.0    0.50  WORTH A FAIR VALUE
KXBULGARIAPRES                 11    19.5    1.95  UNRESOLVED
KXAAAGASED                     11    40.0    4.00  DEAD
KXMLBAL                        11     5.0    0.50  WORTH A FAIR VALUE
KXPOLITICSMENTION              11    35.0    3.50  DEAD
KXMANHATTANRENT                11     5.0    0.50  WORTH A FAIR VALUE
KXUSPPIYOY                     11    15.0    1.50  WORTH A FAIR VALUE
KXIRANCRUDE                    11    35.0    3.50  DEAD
KXSGFT                         11    50.0    5.00  DEAD
KXCOSTFT                       11    40.0    4.00  DEAD
KXAAAEVM                       11    40.0    4.00  DEAD
KXUSHOME                       11    40.0    4.00  DEAD
KXNATGASMON                    11    25.0    2.50  UNRESOLVED
KXKHANNAMENTION                11    25.0    2.50  UNRESOLVED
KXF1RACEPODIUM                 11    15.0    1.50  WORTH A FAIR VALUE
KXBRASILEIROBTTS               11    10.0    1.00  WORTH A FAIR VALUE
KXDOTA2                        11    20.0    2.00  UNRESOLVED
KXIMAGEAI                      11     5.0    0.50  WORTH A FAIR VALUE
KXJOBLESSCLAIMS                11    25.0    2.50  UNRESOLVED
KXCLUBFBTTS                    11   120.0   12.00  DEAD
KXAFRICALEADEROUT              10    33.8    3.38  DEAD
KXACTORSONNYCROCKETT           10    35.0    3.50  DEAD
KXWCHOST                       10    35.0    3.50  DEAD
KXPRIMEENGCONSUMPTION          10     5.0    0.50  WORTH A FAIR VALUE
KXFYREFESTPRICE                10    40.0    4.00  DEAD
KXWITHDRAW                     10    21.8    2.17  UNRESOLVED
KXNEWSCOTUSCONF                10     8.5    0.85  WORTH A FAIR VALUE
KXFDANOM                       10    22.5    2.25  UNRESOLVED
KXITALYPM                      10     5.0    0.50  WORTH A FAIR VALUE
KXRPRESPRIMARY                 10    30.0    3.00  DEAD
KXTURKEYPRES                   10    32.0    3.20  DEAD
KXRACEA                        10    45.0    4.50  DEAD
KXOSCARSUPACTR                 10    17.5    1.75  UNRESOLVED
KXOSCARNOMCIN                  10    25.0    2.50  UNRESOLVED
KXLAMOV                        10    30.0    3.00  DEAD
KXHOUSEPOPVOTEMARGIN           10     5.0    0.50  WORTH A FAIR VALUE
KXGRAMMYNOMSOTY                10    35.0    3.50  DEAD
KXBOSNIANGEN                   10    20.0    2.00  UNRESOLVED
KXKRAKOWMAYOR                  10     5.0    0.50  WORTH A FAIR VALUE
KXISLEMINISTER                 10    32.5    3.25  DEAD
KXNBAMVP                       10     5.0    0.50  WORTH A FAIR VALUE
KXBUNDESLIGARELEGATION         10   290.0   29.00  DEAD
KXBTSGA                        10    15.0    1.50  WORTH A FAIR VALUE
KXTGTA                         10    50.0    5.00  DEAD
KXBROSA                        10     5.0    0.50  WORTH A FAIR VALUE
KXMARA                         10    40.0    4.00  DEAD
KXLYFTA                        10    47.5    4.75  DEAD
KXIPL                          10    85.0    8.50  DEAD
KXAKMOV                        10    30.0    3.00  DEAD
KXIPORAMP                      10    35.0    3.50  DEAD
KXCOMPANYACTIONMERGER          10    10.0    1.00  WORTH A FAIR VALUE
KXALKA                         10    45.0    4.50  DEAD
KXROLEATGRAMMYS                10    30.0    3.00  DEAD
KXTGT                          10    50.0    5.00  DEAD
KXNCAAMBBSKY                   10   475.0   47.50  DEAD
KXNCAAMBUSA                    10   485.0   48.50  DEAD
KXNCAAMBPAT                    10   485.0   48.50  DEAD
KXLYFT                         10    50.0    5.00  DEAD
KXGRAB                         10    50.0    5.00  DEAD
KXDASH                         10    45.0    4.50  DEAD
KXZETA                         10    50.0    5.00  DEAD
KXPLTR                         10    50.0    5.00  DEAD
KXINTC                         10    45.0    4.50  DEAD
KXAAL                          10    47.5    4.75  DEAD
KXVZ                           10    50.0    5.00  DEAD
KXMANUCON                      10    40.0    4.00  DEAD
KXMUSKCHALLENGERS              10    29.2    2.92  UNRESOLVED
KXRANKLISTFFTE                 10    45.0    4.50  DEAD
KXWAYMOCITY                    10    35.0    3.50  DEAD
KXVENUEPERFORMANCEDRAKE        10    35.0    3.50  DEAD
KXSPCXLAUNCH                   10    40.0    4.00  DEAD
KXUPONLY                       10    55.0    5.50  DEAD
KXAAAGASMAXTX                  10    80.0    8.00  DEAD
KXAAAGASMAXCA                  10    45.0    4.50  DEAD
KXSCOTUSCERT                   10    32.5    3.25  DEAD
KXMOBILEGAMEAD                 10    87.5    8.75  DEAD
KXFEATURETRAVISSCOTT           10    37.5    3.75  DEAD
KXTOPSONGTHIRDUSA              10    12.5    1.25  WORTH A FAIR VALUE
KXRANKLISTGOOGLESEARCH         10     5.0    0.50  WORTH A FAIR VALUE
KXLLM1                         10     1.5    0.15  WORTH A FAIR VALUE
KXCRYPTORETURNY                10    10.0    1.00  WORTH A FAIR VALUE
KXNCAAFMWCQUAL                 10   102.5   10.25  DEAD
KXNCAAFCUSAQUAL                10    77.5    7.75  DEAD
KXCPICORE                      10   177.5   17.75  DEAD
KXNCAAFSECQ                    10    55.0    5.50  DEAD
KXNASCARCUPSERIES              10     5.0    0.50  WORTH A FAIR VALUE
KXATPFINALSQUAL                10   312.5   31.25  DEAD
KXWTAFINALSQUAL                10   157.5   15.75  DEAD
KXRUNBYMIDTERM                 10    18.5    1.85  UNRESOLVED
KXBERNIEENDORSE                10    21.2    2.12  UNRESOLVED
KXVANCOUVERMAYOR               10    27.2    2.73  UNRESOLVED
KXLEADERMLBWINS                10    37.5    3.75  DEAD
KXNOBELLIT                     10    35.0    3.50  DEAD
KXFEDDISSENT                   10    35.0    3.50  DEAD
KXCFBUNRANKEDUPSET             10   307.5   30.75  DEAD
KXYUMTBFT                      10    50.0    5.00  DEAD
KXBROSFT                       10    50.0    5.00  DEAD
KXBKFT                         10    50.0    5.00  DEAD
KXFAOFPI                       10    37.5    3.75  DEAD
KXGOOGTOKEND                   10    65.0    6.50  DEAD
KXAMSAVO                       10    30.0    3.00  DEAD
KXSARETAIL                     10    40.0    4.00  DEAD
KXSUEZWEEKLY                   10    40.0    4.00  DEAD
KXPANAMAWEEKLY                 10    35.0    3.50  DEAD
KXBABELMANDEBWEEKLY            10    40.0    4.00  DEAD
KXUSOPENPRICE                  10    40.0    4.00  DEAD
KXVIDEOAI                      10     5.0    0.50  WORTH A FAIR VALUE
KXBIGBROTHERELIMINATION        10    10.0    1.00  WORTH A FAIR VALUE
KXKBORFI                       10   365.0   36.50  DEAD
KXLOWTDEN                      10    30.0    3.00  DEAD
KXLOWTDC                       10    17.5    1.75  UNRESOLVED
KXLOWTCHI                      10     7.5    0.75  WORTH A FAIR VALUE
KXVENFUTVEBTTS                 10   390.0   39.00  DEAD
KXDOTA2GAME                    10     5.0    0.50  WORTH A FAIR VALUE
KXUSLBTTS                      10    10.0    1.00  WORTH A FAIR VALUE
KXNFL1QTOTAL                   10   177.5   17.75  DEAD
KXNFL1QSPREAD                  10   197.5   19.75  DEAD
KXKFTOUR                       10    29.8    2.98  UNRESOLVED
KXLEBANONPARLI                 10    23.2    2.33  UNRESOLVED
KXCONGRESSTRADES               10   150.5   15.05  DEAD
KXNEXTTRILLIONAIRE              9    10.0    1.00  WORTH A FAIR VALUE
KXPERFORMROLEBRITNEY            9    35.0    3.50  DEAD
KXMOVIERELEASEDATE              9    40.0    4.00  DEAD
KXBEYONCEGENRE                  9    30.0    3.00  DEAD
KXSCOTUSRESIGN                  9    25.0    2.50  UNRESOLVED
KXCLUBWCHOST                    9    65.0    6.50  DEAD
KXDPRESPRIMARY                  9    15.0    1.50  WORTH A FAIR VALUE
KXGREEKPM                       9    20.0    2.00  UNRESOLVED
KXSCHWA                         9    50.0    5.00  DEAD
KXOSCARACTR                     9    10.0    1.00  WORTH A FAIR VALUE
KXGA1ROUND                      9    21.0    2.10  UNRESOLVED
KXPRIMARYPLACE                  9    30.0    3.00  DEAD
KXWCW                           9    27.5    2.75  UNRESOLVED
KXLIGUE1RELEGATION              9   450.0   45.00  DEAD
KXSEZLA                         9    20.0    2.00  UNRESOLVED
KXSEA                           9    45.0    4.50  DEAD
KXRKLBA                         9    50.0    5.00  DEAD
KXBULLA                         9    50.0    5.00  DEAD
KXHDA                           9    45.0    4.50  DEAD
KXWMTA                          9    45.0    4.50  DEAD
KXSPCXA                         9    50.0    5.00  DEAD
KXSTRIPEIPO                     9    35.0    3.50  DEAD
KXIPOOPENAI                     9    15.0    1.50  WORTH A FAIR VALUE
KXIPODISCORD                    9    30.0    3.00  DEAD
KXIPODEEL                       9    40.0    4.00  DEAD
KXIPOANDURIL                    9    35.0    3.50  DEAD
KXEFLPROMO                      9    40.0    4.00  DEAD
KXNBAGAMESPECIALS               9   480.0   48.00  DEAD
KXHORMUZAVG                     9    20.0    2.00  UNRESOLVED
KXMAMDANIPOLL                   9    30.0    3.00  DEAD
KXGOVTSPEND                     9    39.5    3.95  DEAD
KXCOMMGIFTS                     9    30.0    3.00  DEAD
KXMARMAD1SEED                   9   175.0   17.50  DEAD
KXHOUSETURNOUT                  9    21.0    2.10  UNRESOLVED
KXURBN                          9    45.0    4.50  DEAD
KXNCAAMBSOCON                   9   475.0   47.50  DEAD
KXNCAAMBNEC                     9   470.0   47.00  DEAD
KXNCAAMBPAC12                   9   485.0   48.50  DEAD
KXUSDCCAPACITY                  9    35.0    3.50  DEAD
KXSG                            9    30.0    3.00  DEAD
KXUBER                          9    45.0    4.50  DEAD
KXCART                          9   100.0   10.00  DEAD
KXFSLRA                         9     5.0    0.50  WORTH A FAIR VALUE
KXACA                           9    45.0    4.50  DEAD
KXLMT                           9    50.0    5.00  DEAD
KXAXP                           9    40.0    4.00  DEAD
KXNFLWINSTREAK                  9   195.0   19.50  DEAD
KXNFLHIGHSCORE                  9   475.0   47.50  DEAD
KXNCAAFACCREGTOP                9   325.0   32.50  DEAD
KXSEMIPRODH                     9    35.0    3.50  DEAD
KXNFLNEXTINT                    9   455.0   45.50  DEAD
KXNFLRETURN                     9    90.0    9.00  DEAD
KXGONORRHEACOUNT                9    35.0    3.50  DEAD
KXCHWY                          9    40.0    4.00  DEAD
KXVPBREAKS                      9    35.0    3.50  DEAD
KXTOP3WEALTH                    9    45.0    4.50  DEAD
KXUSMDLFRDM                     9    30.0    3.00  DEAD
KXUSAIRANAGREEMENT              9     5.0    0.50  WORTH A FAIR VALUE
KXTRUMPSTATES                   9    85.0    8.50  DEAD
KXSECSTATEVISIT                 9    25.0    2.50  UNRESOLVED
KXOAIHARDWARE                   9    15.0    1.50  WORTH A FAIR VALUE
KXMUSKWEALTH                    9     5.0    0.50  WORTH A FAIR VALUE
KXGOVTFULLFUND                  9    30.0    3.00  DEAD
KXFTACOUNTRIES                  9    35.0    3.50  DEAD
KXART                           9    45.0    4.50  DEAD
KXAAAGASMIN                     9    30.0    3.00  DEAD
KXXRPY                          9    40.0    4.00  DEAD
KXSOLD26                        9    20.0    2.00  UNRESOLVED
KXA100MAX                       9    20.0    2.00  UNRESOLVED
KXWHPRESSBRIEFING               9    35.0    3.50  DEAD
KXTOPALBUMSPOTIFYRUNNERUP       9    20.0    2.00  UNRESOLVED
KXSPOTIFYWRAPPEDRELEASE         9    35.0    3.50  DEAD
KXLATVIAPARLIAMENT              9    20.0    2.00  UNRESOLVED
KXHEISMANSPECIAL                9    40.0    4.00  DEAD
KXWSM                           9    50.0    5.00  DEAD
KXNCAAFACCQUAL                  9    85.0    8.50  DEAD
KXIPOSHEIN                      9    40.0    4.00  DEAD
KXCONMEBOLLIB                   9    25.0    2.50  UNRESOLVED
KXNWSL                          9    50.0    5.00  DEAD
KXEFFTARIFF                     9    45.0    4.50  DEAD
KXNOBELECON                     9    35.0    3.50  DEAD
KXARCTICICEMIN                  9    15.0    1.50  WORTH A FAIR VALUE
KXSP500REMOVEQ                  9    30.0    3.00  DEAD
KXSP500ADDQ                     9    15.0    1.50  WORTH A FAIR VALUE
KXUSRETAIL                      9    30.0    3.00  DEAD
KXARMOMINF                      9     5.0    0.50  WORTH A FAIR VALUE
KXEXUSHOME                      9     5.0    0.50  WORTH A FAIR VALUE
KXDOTPLOT                       9    50.0    5.00  DEAD
KXURBNCC                        9    50.0    5.00  DEAD
KXSHEINCC                       9   460.0   46.00  DEAD
KXCFILCC                        9    45.0    4.50  DEAD
KXCAVAFT                        9   170.0   17.00  DEAD
KXANFCC                         9   490.0   49.00  DEAD
KXCHCUTS                        9    40.0    4.00  DEAD
KXNFLT100                       9    20.0    2.00  UNRESOLVED
KXMA6D                          9    11.5    1.15  WORTH A FAIR VALUE
KXSKEXPYOY                      9   100.0   10.00  DEAD
KXOPENTOKEND                    9   100.0   10.00  DEAD
KXMLSJOIN                       9    25.0    2.50  UNRESOLVED
KXHOUSINGSTART                  9    45.0    4.50  DEAD
KXLALIGABTTS                    9    15.0    1.50  WORTH A FAIR VALUE
KXSLGREECEGAME                  9    45.0    4.50  DEAD
KXSWISSLEAGUEGAME               9    30.0    3.00  DEAD
KXISRPLGAME                     9   390.0   39.00  DEAD
KXASEANGAME                     9    35.0    3.50  DEAD
KXLALIGA2HTOTAL                 9   345.0   34.50  DEAD
KXLALIGA1HTOTAL                 9     5.0    0.50  WORTH A FAIR VALUE
KXLALIGA2H                      9   245.0   24.50  DEAD
KXLALIGA1H                      9     5.0    0.50  WORTH A FAIR VALUE
KXBRASILEIROB1HTOTAL            9    30.0    3.00  DEAD
KXBRASILEIROB1H                 9    25.0    2.50  UNRESOLVED
KXLIGAEXP1HTOTAL                9    20.0    2.00  UNRESOLVED
KXLIGAEXP1H                     9    30.0    3.00  DEAD
KXGER3LGAME                     9    30.0    3.00  DEAD
KXKLEAGUE1HTOTAL                9    15.0    1.50  WORTH A FAIR VALUE
KXBUNDESLIGA2GAME               9     5.0    0.50  WORTH A FAIR VALUE
KXKLEAGUE1H                     9    15.0    1.50  WORTH A FAIR VALUE
KXUSL1HSPREAD                   9   360.0   36.00  DEAD
KXWTIWHEN                       9    60.0    6.00  DEAD
KXNEXTNATOSECGEN                8    30.0    3.00  DEAD
KXPGAFUTURE                     8   472.5   47.25  DEAD
KXINDIANPM                      8     5.0    0.50  WORTH A FAIR VALUE
KXUKPARTY                       8    10.0    1.00  WORTH A FAIR VALUE
POWER                           8     5.0    0.50  WORTH A FAIR VALUE
KXGREENLANDPRICE                8     6.5    0.65  WORTH A FAIR VALUE
KXSTATE51                       8     2.0    0.20  WORTH A FAIR VALUE
KXPUTINZELENSKYYLOCATION        8    22.5    2.25  UNRESOLVED
KXAKSENADVANCE                  8    30.0    3.00  DEAD
KXSTZA                          8    50.0    5.00  DEAD
KXLONDONMAYOR                   8    30.0    3.00  DEAD
KXYOUA                          8    50.0    5.00  DEAD
KXMTCHA                         8    45.0    4.50  DEAD
KXHIMSA                         8    50.0    5.00  DEAD
KXFA                            8    40.0    4.00  DEAD
KXBAA                           8    37.5    3.75  DEAD
KXORCLA                         8    50.0    5.00  DEAD
KXNFLXA                         8    50.0    5.00  DEAD
KXCOLLEGERANK                   8    22.5    2.25  UNRESOLVED
KXROLEATEVENTROLLING            8    12.5    1.25  WORTH A FAIR VALUE
KXDRAMAY                        8     5.0    0.50  WORTH A FAIR VALUE
KXOSCARNOMSBANIMATEDF           8    27.5    2.75  UNRESOLVED
KXCAHOUSEDEM                    8    24.8    2.48  UNRESOLVED
KXCOACHOUTNBADATE               8    37.5    3.75  DEAD
KXRYDERCUPCAPTAIN               8    92.5    9.25  DEAD
KXLALIGARELEGATION              8   102.5   10.25  DEAD
KXFUTUA                         8    50.0    5.00  DEAD
