Non-sports spread census  2026-08-16T00:06:41.541000+00:00
==============================================================================
events: 281 sports, 9888 non-sports
CONTROL median half-spread (sports, median of per-series medians): 10.0 tenths
  from 19 sports series with >= 5 readable markets

series                          n    half   ratio  verdict
KXGRAMMYNOMNAOTY               67    20.0    2.00  UNRESOLVED
KXUSLTOTAL                     67    10.0    1.00  WORTH A FAIR VALUE
KXBRASILEIROTOTAL              66    10.0    1.00  WORTH A FAIR VALUE
KXCLUBFTOTAL                   66    67.5    6.75  DEAD
KXH100WS                       65    10.0    1.00  WORTH A FAIR VALUE
KXCOPPAITALIASCORE             65    45.0    4.50  DEAD
KXUE                           64    45.0    4.50  DEAD
KXCHESSFIDERATINGTOP           64    25.0    2.50  UNRESOLVED
KXT20MATCH                     64    27.5    2.75  UNRESOLVED
KXH200WS                       63    15.0    1.50  WORTH A FAIR VALUE
KXPUREALBUMS                   62    40.0    4.00  DEAD
KXNFLFFLEADERTOP               61   475.0   47.50  DEAD
KXMLBSS                        61   460.0   46.00  DEAD
KXPRIMARYMOV                   60    17.5    1.75  UNRESOLVED
KXBRASILEIROGAME               60    17.5    1.75  UNRESOLVED
KXDFBPOKALADVANCE              60   370.0   37.00  DEAD
KXUSLGAME                      60    20.0    2.00  UNRESOLVED
KXDFBPOKALSPREAD               60   480.0   48.00  DEAD
KXATPGSPREAD                   60    52.5    5.25  DEAD
KXFEDDECISION                  58     5.0    0.50  WORTH A FAIR VALUE
KXEPLTOP                       58    30.0    3.00  DEAD
KXVENFUTVETOTAL                58   470.0   47.00  DEAD
KXATPGTOTAL                    56    57.5    5.75  DEAD
KXMARMAD                       55     0.5    0.05  WORTH A FAIR VALUE
KXTEAMSINWS                    54     4.5    0.45  WORTH A FAIR VALUE
KXLALIGATOTAL                  54    15.0    1.50  WORTH A FAIR VALUE
KXMLBF3                        54   225.0   22.50  DEAD
KXNYCSTAT                      53   480.0   48.00  DEAD
KXWTAGTOTAL                    53   175.0   17.50  DEAD
KXUFCVICROUND                  53    15.0    1.50  WORTH A FAIR VALUE
KXTRUMPPARDONS                 52    35.0    3.50  DEAD
KXSUPERBOWLHEADLINE            52    15.0    1.50  WORTH A FAIR VALUE
